Species,URL
Arcanobacterium pyogenes(14),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=1661
Mobiluncus curtisii ATCC 43063(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=548479
Mobiluncus mulieris ATCC 35243(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=585199
Oerskovia turbata(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=1713
Corynebacterium accolens ATCC 49725(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=525260
Corynebacterium amycolatum(3),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=43765
Corynebacterium amycolatum SK46(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=553204
Corynebacterium diphtheriae(8),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=1717
Corynebacterium diphtheriae NCTC 13129(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=257309
Corynebacterium glucuronolyticum ATCC 51866(6),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=548478
Corynebacterium glucuronolyticum ATCC 51867(6),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=548477
Corynebacterium glutamicum(11),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=1718
Corynebacterium jeikeium(4),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=38289
Corynebacterium jeikeium K411(4),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=306537
Corynebacterium pseudogenitalium ATCC 33035(6),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=525264
Corynebacterium sp. CU-2004(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=290185
Corynebacterium sp. L2-79-05(4),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=373068
Corynebacterium striatum(12),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=43770
Corynebacterium striatum ATCC 6940(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=525268
Corynebacterium urealyticum DSM 7109(12),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=504474
Brachybacterium sp. APFTCR24(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=488146
Brachybacterium sp. APFTCR25(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=488147
Brachybacterium sp. APFTCR27(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=488149
Brachybacterium sp. APFTCR32(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=488153
Leucobacter komagatae(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=55969
Microbacterium foliorum(4),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=104336
Microbacterium phyllosphaerae(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=124798
Microbacterium sp. 127Z1(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=492220
Arthrobacter protophormiae(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=37930
Arthrobacter sp.(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=1667
Arthrobacter sp. APFTCR31(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=488152
Rothia sp. T40-1(1),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=426589
Micromonospora chalcea(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=1874
Micromonospora griseorubida(2),http://ardb.cbcb.umd.edu/cgi/ssquery.cgi?db=L&amp;gn=a&amp;sp=28040
